"","Age","grade","Sex","YearGroup","category","AvgDeathsPer100k","AvgDeathsPer100k_impute"
"1",12,"Less Strict","Females","2001-2014","Firearm",0,1.50432493418578
"2",12,"Less Strict","Females","2015-2021","Firearm",0,1.39568665829627
"3",12,"Less Strict","Males","2001-2014","Firearm",0,1.64805125105004
"4",12,"Less Strict","Males","2015-2021","Firearm",0,1.89508886490084
"5",12,"More Strict","Females","2001-2014","Firearm",0,2.27281766888456
"6",12,"More Strict","Females","2015-2021","Firearm",0,1.63393130680464
"7",12,"More Strict","Males","2001-2014","Firearm",0,1.34978423555401
"8",12,"More Strict","Males","2015-2021","Firearm",0,1.66779613527161
"9",13,"Less Strict","Females","2001-2014","Firearm",0,1.51932261845124
"10",13,"Less Strict","Females","2015-2021","Firearm",0,1.73026944909374
"11",13,"Less Strict","Males","2001-2014","Firearm",0,1.90496700556615
"12",13,"Less Strict","Males","2015-2021","Firearm",0,2.069906217326
"13",13,"More Strict","Females","2001-2014","Firearm",0,1.12507152240392
"14",13,"More Strict","Females","2015-2021","Firearm",0,1.49713797124497
"15",13,"More Strict","Males","2001-2014","Firearm",0,1.10411267249
"16",13,"More Strict","Males","2015-2021","Firearm",0,1.33429095548575
"17",14,"Less Strict","Females","2001-2014","Firearm",0,1.92838215543214
"18",14,"Less Strict","Females","2015-2021","Firearm",0,1.96282727792155
"19",14,"Less Strict","Males","2001-2014","Firearm",0,3.5474270881956
"20",14,"Less Strict","Males","2015-2021","Firearm",2.16025620638608,5.15153282401197
"21",14,"More Strict","Females","2001-2014","Firearm",0,1.06808294465127
"22",14,"More Strict","Females","2015-2021","Firearm",0,1.37532555920737
"23",14,"More Strict","Males","2001-2014","Firearm",0,2.28125763292888
"24",14,"More Strict","Males","2015-2021","Firearm",0,3.02457319369562
"25",15,"Less Strict","Females","2001-2014","Firearm",0,1.75359008113335
"26",15,"Less Strict","Females","2015-2021","Firearm",0,1.97810358494334
"27",15,"Less Strict","Males","2001-2014","Firearm",0.726126256959686,3.60828662452558
"28",15,"Less Strict","Males","2015-2021","Firearm",3.93051136654756,5.57641983537222
"29",15,"More Strict","Females","2001-2014","Firearm",0,1.21328854276463
"30",15,"More Strict","Females","2015-2021","Firearm",0,1.22014914945764
"31",15,"More Strict","Males","2001-2014","Firearm",0,2.34973989709381
"32",15,"More Strict","Males","2015-2021","Firearm",0,3.50306412204089
"33",16,"Less Strict","Females","2001-2014","Firearm",0,1.85704187747609
"34",16,"Less Strict","Females","2015-2021","Firearm",0,2.22208667997349
"35",16,"Less Strict","Males","2001-2014","Firearm",2.82738639727773,4.53753083654263
"36",16,"Less Strict","Males","2015-2021","Firearm",7.45851377620331,7.7008944465826
"37",16,"More Strict","Females","2001-2014","Firearm",0,1.24683963371946
"38",16,"More Strict","Females","2015-2021","Firearm",0,1.39636269565614
"39",16,"More Strict","Males","2001-2014","Firearm",0,3.17777856260039
"40",16,"More Strict","Males","2015-2021","Firearm",1.60990598149068,5.67206568967464
"41",17,"Less Strict","Females","2001-2014","Firearm",0,1.83213405605029
"42",17,"Less Strict","Females","2015-2021","Firearm",0,2.53050092815159
"43",17,"Less Strict","Males","2001-2014","Firearm",4.76038891287253,5.34912131687211
"44",17,"Less Strict","Males","2015-2021","Firearm",10.2518752016945,9.47408274223295
"45",17,"More Strict","Females","2001-2014","Firearm",0,1.19926285309963
"46",17,"More Strict","Females","2015-2021","Firearm",0,1.18334092643761
"47",17,"More Strict","Males","2001-2014","Firearm",1.74787846966728,4.41889971501334
"48",17,"More Strict","Males","2015-2021","Firearm",3.40522617086574,7.58036802955591
