"","AgeGroup","grade","Sex","YearGroup","category","AvgDeathsPer100k","AvgDeathsPer100k_impute"
"1","12–20","Less Strict","Females","2001-2014","Firearm",0,1.84154787047952
"2","12–20","Less Strict","Females","2015-2021","Firearm",0,2.19923884685361
"3","12–20","Less Strict","Males","2001-2014","Firearm",3.47441373964723,6.3589813362448
"4","12–20","Less Strict","Males","2015-2021","Firearm",8.32459705656808,8.55411887253003
"5","12–20","More Strict","Females","2001-2014","Firearm",0,1.24116797138917
"6","12–20","More Strict","Females","2015-2021","Firearm",0,1.28535129509191
"7","12–20","More Strict","Males","2001-2014","Firearm",1.49043437487656,4.57194764635935
"8","12–20","More Strict","Males","2015-2021","Firearm",2.69445924277493,6.29416404153647
"9","21–30","Less Strict","Females","2001-2014","Firearm",0.0192882764852532,2.26972510144893
"10","21–30","Less Strict","Females","2015-2021","Firearm",0.230305382843966,3.07013390311283
"11","21–30","Less Strict","Males","2001-2014","Firearm",13.4820786567683,15.7101034108223
"12","21–30","Less Strict","Males","2015-2021","Firearm",19.367116031531,20.6471010439987
"13","21–30","More Strict","Females","2001-2014","Firearm",0,1.27205335033733
"14","21–30","More Strict","Females","2015-2021","Firearm",0,1.35895033719254
"15","21–30","More Strict","Males","2001-2014","Firearm",7.62186856614372,9.87880928877694
"16","21–30","More Strict","Males","2015-2021","Firearm",11.3139513793474,11.1205090298924
"17","31–40","Less Strict","Females","2001-2014","Firearm",0.0249753936178229,2.58961229977124
"18","31–40","Less Strict","Females","2015-2021","Firearm",0.18598705344121,3.20068820221243
"19","31–40","Less Strict","Males","2001-2014","Firearm",12.8079261343987,17.6426654607412
"20","31–40","Less Strict","Males","2015-2021","Firearm",16.0264096165607,21.6880762027408
"21","31–40","More Strict","Females","2001-2014","Firearm",0,1.35476267360292
"22","31–40","More Strict","Females","2015-2021","Firearm",0,1.33114047263474
"23","31–40","More Strict","Males","2001-2014","Firearm",7.28900310007528,10.6838806552996
"24","31–40","More Strict","Males","2015-2021","Firearm",9.12103028232839,11.4963907223123
"25","41–50","Less Strict","Females","2001-2014","Firearm",0.538586208739949,3.3718112973755
"26","41–50","Less Strict","Females","2015-2021","Firearm",0.512050285613826,3.55992340827378
"27","41–50","Less Strict","Males","2001-2014","Firearm",16.4209743819676,18.7483379599064
"28","41–50","Less Strict","Males","2015-2021","Firearm",16.8159559067412,22.4761882252501
"29","41–50","More Strict","Females","2001-2014","Firearm",0.0193553896514783,1.491679172276
"30","41–50","More Strict","Females","2015-2021","Firearm",0,1.39122475549719
"31","41–50","More Strict","Males","2001-2014","Firearm",10.8014551850647,11.6218348338008
"32","41–50","More Strict","Males","2015-2021","Firearm",10.0697297076557,12.8471413616894
"33","51–60","Less Strict","Females","2001-2014","Firearm",0.162002096490527,3.13884911707383
"34","51–60","Less Strict","Females","2015-2021","Firearm",1.50433424656185,3.69197318535589
"35","51–60","Less Strict","Males","2001-2014","Firearm",19.9271044107493,17.6143359697572
"36","51–60","Less Strict","Males","2015-2021","Firearm",21.0147693956775,22.0955651180063
"37","51–60","More Strict","Females","2001-2014","Firearm",0.0466013692333262,1.93419292241806
"38","51–60","More Strict","Females","2015-2021","Firearm",0,1.45509292959532
"39","51–60","More Strict","Males","2001-2014","Firearm",13.9333532348772,13.1125501812989
"40","51–60","More Strict","Males","2015-2021","Firearm",13.9013469688922,13.9439297642955
"41","61-70","Less Strict","Females","2001-2014","Firearm",0.0258305116512914,2.82277663224345
"42","61-70","Less Strict","Females","2015-2021","Firearm",0.377296767501973,3.22914937529414
"43","61-70","Less Strict","Males","2001-2014","Firearm",18.7696590617395,17.4994035170277
"44","61-70","Less Strict","Males","2015-2021","Firearm",22.4711020765844,20.9799109491535
"45","61-70","More Strict","Females","2001-2014","Firearm",0,2.1990947044198
"46","61-70","More Strict","Females","2015-2021","Firearm",0.0398983581346847,1.97217082554379
