"AgeGroup","grade","category","Difference (Male AvgDeathsPer100k - Female AvgDeathsPer100k)","t_value","p_value"
"12–20","Less Strict","All",11.8591271807908,-2.64994528158222,0.0108179201978461
"12–20","More Strict","All",7.3482275041922,-2.35737992830889,0.0264272721261497
"12–20","Less Strict","Firearm",15.7666180143314,-4.65853119800411,4.62126979403345e-05
"12–20","More Strict","Firearm",7.68289544008255,-3.64689376833176,0.00158139214471057
"12–20","Less Strict","Non-Firearm",4.66667154824373,-1.53393515775956,0.130601643789977
"12–20","More Strict","Non-Firearm",2.59032179093888,-1.25832947536109,0.217641340820944
"21–30","Less Strict","All",21.7382503739292,-4.64443024922971,2.20644044158902e-05
"21–30","More Strict","All",18.2820408262917,-3.64223887642179,0.00128483149449733
"21–30","Less Strict","Firearm",20.2136293346007,-4.86089799868217,2.2489187593504e-05
"21–30","More Strict","Firearm",12.880073446831,-2.9406141772188,0.00812055332611613
"21–30","Less Strict","Non-Firearm",10.0896862564772,-2.69434756510188,0.0096591328462609
"21–30","More Strict","Non-Firearm",7.3386101315558,-2.43902056258878,0.0220570748022122
"31–40","Less Strict","All",21.4438454840445,-4.46121212861002,4.41090582190346e-05
"31–40","More Strict","All",17.2033360372629,-3.02852988396623,0.00579541966590749
"31–40","Less Strict","Firearm",17.2071795269902,-4.2650215112139,0.000134044461325991
"31–40","More Strict","Firearm",10.6325721550905,-2.80518427537685,0.0107844942719479
"31–40","Less Strict","Non-Firearm",11.5316500011523,-2.950339662509,0.00509438963072375
"31–40","More Strict","Non-Firearm",8.65334351306447,-1.9130597827616,0.0679104565295951
"41–50","Less Strict","All",20.3801205713622,-3.69820838060482,0.00054507862626358
"41–50","More Strict","All",15.9405455215393,-2.91861436893204,0.00697246092952557
"41–50","Less Strict","Firearm",18.8772902784777,-4.11741568768453,0.00022161146712662
"41–50","More Strict","Firearm",11.6481315604118,-3.06626040343458,0.00594692073892158
"41–50","Less Strict","Non-Firearm",9.73870172236921,-2.51127316742452,0.0156493952678106
"41–50","More Strict","Non-Firearm",6.43786685215886,-1.50655496221515,0.142927625577944
"51–60","Less Strict","All",18.485696932047,-3.84730953069002,0.000310155407840721
"51–60","More Strict","All",19.3745161468671,-3.90239272147517,0.000604611621316478
"51–60","Less Strict","Firearm",18.7947244544805,-4.80459394636667,2.50126372495518e-05
"51–60","More Strict","Firearm",13.3204006744445,-3.14210306248347,0.00504232567041799
"51–60","Less Strict","Non-Firearm",6.98721692510271,-2.01362773323168,0.0491719600333996
"51–60","More Strict","Non-Firearm",6.91764270051808,-1.94914793682162,0.061272059125539
"61-70","Less Strict","All",21.4993374985764,-4.9185442754318,1.25090188285248e-05
"61-70","More Strict","All",16.6568798764663,-3.40111915193779,0.0024461244851973
"61-70","Less Strict","Firearm",24.2272035115873,-6.10817172024121,5.6258641373799e-07
"61-70","More Strict","Firearm",15.8134504023782,-3.82148775161199,0.00105645108293764
"61-70","Less Strict","Non-Firearm",5.7803139155134,-2.92185790832363,0.0051559913324916
"61-70","More Strict","Non-Firearm",4.85052885659388,-1.80267364523885,0.0807531818511763
"71-80","Less Strict","All",43.0956628508903,-6.07340623191249,8.22613047281087e-07
"71-80","More Strict","All",23.4881965299977,-4.08183505935491,0.000535584302761773
"71-80","Less Strict","Firearm",46.5895125978472,-7.17135952348699,5.09559555446925e-08
"71-80","More Strict","Firearm",26.4204550748242,-5.24384209381838,4.15191680633857e-05
"71-80","Less Strict","Non-Firearm",7.50466535032974,-4.05071882426971,0.00016950033882412
"71-80","More Strict","Non-Firearm",5.879347827536,-2.92171962560513,0.00615364574882904
