"Difference","DeathsPer100k_Female","DeathsPer100k_Male","statistic","p.value","parameter","conf.low","conf.high","method","alternative","description","imputed_missing","type","n_obs_females","n_obs_males"
-9.93264573067559,0.418138273492028,10.3507840041676,-51.3282949229894,0,3422.12069065809,-10.312056654086,-9.55323480726519,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males","No","All",3312,3312
-2.96697429637954,0.00717921756997012,2.97415351394951,-34.3494238792187,1.89661897197468e-221,3312.2094781419,-3.13633051483559,-2.7976180779235,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males","No","Firearm",3312,3312
-1.46224786312329,0.14753966342685,1.60978752655014,-24.633306204713,5.53591333440294e-124,3612.58038606793,-1.57863149649393,-1.34586422975265,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Per 100k between Females and Males","No","Non-Firearm",3312,3312
-14.5354381842102,4.05396508585241,18.5894032700626,-97.4792113844529,0,3842.46643454226,-14.8277867951518,-14.2430895732685,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males","Yes","All",3312,3312
-8.96660357491679,1.74978660376547,10.7163901786823,-89.113519009992,0,3695.32866532337,-9.16387979477873,-8.76932735505485,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males","Yes","Firearm",3312,3312
-3.54347952429373,2.8327729788791,6.37625250317283,-53.9213042383209,0,4889.17852695188,-3.67231194203184,-3.41464710655561,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Per 100k between Females and Males","Yes","Non-Firearm",3312,3312
-3.1946555950463,0.0585374323343102,3.25319302738061,-7.01067887021636,7.45661522652013e-09,47.5099790729638,-4.11111427921062,-2.27819691088198,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 12–20 age group","No","All",336,336
-12.7153982532993,0.214007956084501,12.9294062093838,-8.6920622654052,2.21195334678346e-11,47.4864318609665,-15.6575270491432,-9.77326945745541,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 21–30 age group","No","All",336,336
-12.541321635841,0.407335388432081,12.9486570242731,-8.23252582270152,9.59074288419586e-11,48.1593540336324,-15.6040343909954,-9.47860888068663,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 31–40 age group","No","All",336,336
-14.2911071991351,0.896853577561643,15.1879607766967,-8.12443016714694,1.09084620459911e-10,49.85508854898,-17.8244751247582,-10.757739273512,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 41–50 age group","No","All",336,336
-13.8093282123711,1.01431890136689,14.823647113738,-7.9841772307053,1.69369748561595e-10,50.2814582639487,-17.2828239575888,-10.3358324671535,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 51–60 age group","No","All",336,336
-7.50839548222076,0.3013100821747,7.80970556439546,-6.24985271758691,1.0064075118122e-07,48.424348677891,-9.92336822939244,-5.09342273504908,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 61-70 age group","No","All",336,336
-5.12545624175458,0.0318399435115005,5.15729618526608,-4.21635235914587,0.000111896355373142,47.0332624574033,-7.5709101806038,-2.68000230290535,"Welch Two Sample t-test","two.sided","T-test for ALL Suicides Per 100k between Females and Males for 71-80 age group","No","All",336,336
-0.516438368799829,0,0.516438368799829,-3.94940597902199,0.00026115433029424,47,-0.779500711561666,-0.253376026037992,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 12–20 age group","No","Firearm",336,336
-3.19028362086397,0.00292044687146415,3.19320406773544,-5.6618040427467,8.71323728727402e-07,47.0025251618521,-4.32384699750359,-2.05672024422436,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 21–30 age group","No","Firearm",336,336
-2.23679355512873,0.00218759021895512,2.23898114534768,-5.04012201935683,7.34327850765304e-06,47.0022840239179,-3.12959782182349,-1.34398928843397,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 31–40 age group","No","Firearm",336,336
-3.39891964113833,0.0159878926140211,3.41490753375235,-5.2877115848267,3.15566575910593e-06,47.0280556207825,-4.69203795082034,-2.10580133145631,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 41–50 age group","No","Firearm",336,336
-4.80965761265263,0.0211860512185084,4.83084366387113,-5.59628235885665,1.09167035525791e-06,47.0224913718968,-6.53860198859738,-3.08071323670787,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 51–60 age group","No","Firearm",336,336
-3.35382269008681,0.00794150419855848,3.36176419428537,-4.77397720733315,1.79815671182864e-05,47.0050592827144,-4.76711008523596,-1.94053529493765,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 61-70 age group","No","Firearm",336,336
-3.0846586595542,0,3.0846586595542,-3.45641248721843,0.00117172029316629,47,-4.88002678167509,-1.28929053743331,"Welch Two Sample t-test","two.sided","T-test for Firearm Suicides Per 100k between Females and Males for 71-80 age group","No","Firearm",336,336
-0.450161425541274,0.0203358456659987,0.470497271207272,-3.29729314344981,0.00183996945151628,48.1174662643216,-0.724645097461566,-0.175677753620981,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 12–20 age group","No","Non-Firearm",336,336
-2.09869531113189,0.0780368021087233,2.17673211324061,-4.47189770035495,4.7396079422276e-05,48.0083232448221,-3.04229713780011,-1.15509348446366,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 21–30 age group","No","Non-Firearm",336,336
-2.53183661222307,0.140791795924252,2.67262840814733,-4.54937409358524,3.58841501281027e-05,48.7137423510744,-3.65038004778062,-1.41329317666553,"Welch Two Sample t-test","two.sided","T-test for Non-Firearm Suicides Per 100k between Females and Males for 31–40 age group","No","Non-Firearm",336,336
