"Age","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"12","Males","153","17,142,380","0.89","--","8,109"
"12","Females","45","16,396,568","0.27","--","2,385"
"13","Males","329","17,220,886","1.91","--","17,108"
"13","Females","91","16,475,942","0.55","--","4,732"
"14","Males","627","17,288,121","3.63","--","31,977"
"14","Females","136","16,545,705","0.82","--","6,936"
"15","Males","914","17,300,749","5.28","--","45,700"
"15","Females","163","16,554,179","0.99","--","8,150"
"16","Males","1,164","17,299,669","6.73","--","57,036"
"16","Females","194","16,545,661","1.17","--","9,506"
"17","Males","1,401","17,352,098","8.07","--","67,248"
"17","Females","207","16,577,395","1.25","--","9,936"
"18","Males","1,724","17,507,192","9.85","--","81,028"
"18","Females","228","16,740,789","1.36","--","10,716"
"19","Males","2,107","17,754,611","11.87","--","96,922"
"19","Females","233","16,987,029","1.37","--","10,718"
"20","Males","2,137","17,997,999","11.87","--","96,165"
"20","Females","247","17,211,838","1.44","--","11,115"
"21","Males","2,981","18,177,217","16.40","--","131,164"
"21","Females","324","17,331,350","1.87","--","14,256"
"22","Males","2,953","18,211,942","16.22","--","126,979"
"22","Females","366","17,301,582","2.12","--","15,738"
"23","Males","2,950","18,290,306","16.13","--","123,900"
"23","Females","366","17,349,991","2.11","--","15,372"
"24","Males","2,890","18,459,721","15.66","--","118,490"
"24","Females","358","17,534,498","2.04","--","14,678"
"25","Males","2,771","18,634,391","14.87","--","110,840"
"25","Females","438","17,757,330","2.47","--","17,520"
"26","Males","2,729","18,732,071","14.57","--","106,431"
"26","Females","359","17,911,451","2.00","--","14,001"
"27","Males","2,677","18,761,111","14.27","--","101,726"
"27","Females","396","18,018,648","2.20","--","15,048"
"28","Males","2,493","18,703,915","13.33","--","92,241"
"28","Females","381","18,038,812","2.11","--","14,097"
"29","Males","2,490","18,607,804","13.38","--","89,640"
"29","Females","446","18,004,482","2.48","--","16,056"
"30","Males","2,513","18,502,407","13.58","--","87,955"
"30","Females","413","17,963,832","2.30","--","14,455"
"31","Males","2,373","18,302,397","12.97","--","80,682"
"31","Females","426","17,825,531","2.39","--","14,484"
"32","Males","2,441","18,116,850","13.47","--","80,553"
"32","Females","423","17,693,294","2.39","--","13,959"
"33","Males","2,337","17,934,346","13.03","--","74,784"
"33","Females","423","17,563,227","2.41","--","13,536"
"34","Males","2,263","17,788,701","12.72","--","70,153"
"34","Females","370","17,473,545","2.12","--","11,470"
"35","Males","2,220","17,719,637","12.53","--","66,600"
"35","Females","407","17,431,670","2.34","--","12,210"
"36","Males","2,221","17,552,541","12.65","--","64,409"
"36","Females","458","17,308,724","2.65","--","13,282"
"37","Males","2,265","17,342,916","13.06","--","63,420"
"37","Females","426","17,142,894","2.49","--","11,928"
"38","Males","2,221","17,113,786","12.98","--","59,967"
"38","Females","412","16,958,988","2.43","--","11,124"
"39","Males","2,230","16,874,226","13.22","--","57,980"
"39","Females","419","16,750,622","2.50","--","10,894"
"40","Males","2,144","16,605,732","12.91","--","53,600"
"40","Females","437","16,524,119","2.65","--","10,925"
"41","Males","2,153","16,321,971","13.19","--","51,672"
"41","Females","425","16,289,011","2.61","--","10,200"
"42","Males","2,081","16,089,100","12.93","--","47,863"
"42","Females","435","16,112,079","2.70","--","10,005"
"43","Males","2,165","15,954,063","13.57","--","47,630"
"43","Females","437","16,021,878","2.73","--","9,614"
"44","Males","2,193","16,019,541","13.69","--","46,053"
"44","Females","427","16,124,162","2.65","--","8,967"
"45","Males","2,243","16,125,584","13.91","--","44,860"
"45","Females","465","16,255,916","2.86","--","9,300"
"46","Males","2,282","16,173,236","14.11","--","43,358"
"46","Females","484","16,314,685","2.97","--","9,196"
"47","Males","2,281","16,244,284","14.04","--","41,058"
"47","Females","505","16,394,212","3.08","--","9,090"
"48","Males","2,397","16,297,892","14.71","--","40,749"
"48","Females","478","16,464,696","2.90","--","8,126"
"49","Males","2,323","16,443,022","14.13","--","37,168"
"49","Females","552","16,606,551","3.32","--","8,832"
"50","Males","2,516","16,613,222","15.15","--","37,740"
