"Age","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"12","Males","231","17,142,380","1.35","--","12,243"
"12","Females","257","16,396,568","1.57","--","13,621"
"13","Males","387","17,220,886","2.25","--","20,124"
"13","Females","397","16,475,942","2.41","--","20,644"
"14","Males","594","17,288,121","3.44","--","30,294"
"14","Females","476","16,545,705","2.88","--","24,276"
"15","Males","826","17,300,749","4.77","--","41,300"
"15","Females","583","16,554,179","3.52","--","29,150"
"16","Males","1,029","17,299,669","5.95","--","50,421"
"16","Females","671","16,545,661","4.06","--","32,879"
"17","Males","1,201","17,352,098","6.92","--","57,648"
"17","Females","628","16,577,395","3.79","--","30,144"
"18","Males","1,519","17,507,192","8.68","--","71,393"
"18","Females","657","16,740,789","3.93","--","30,879"
"19","Males","1,868","17,754,611","10.52","--","85,928"
"19","Females","689","16,987,029","4.06","--","31,694"
"20","Males","2,023","17,997,999","11.24","--","91,035"
"20","Females","704","17,211,838","4.09","--","31,680"
"21","Males","2,136","18,177,217","11.75","--","93,984"
"21","Females","757","17,331,350","4.37","--","33,308"
"22","Males","2,226","18,211,942","12.22","--","95,718"
"22","Females","757","17,301,582","4.38","--","32,551"
"23","Males","2,242","18,290,306","12.26","--","94,164"
"23","Females","750","17,349,991","4.32","--","31,500"
"24","Males","2,340","18,459,721","12.68","--","95,940"
"24","Females","748","17,534,498","4.27","--","30,668"
"25","Males","2,484","18,634,391","13.33","--","99,360"
"25","Females","766","17,757,330","4.31","--","30,640"
"26","Males","2,513","18,732,071","13.42","--","98,007"
"26","Females","807","17,911,451","4.51","--","31,473"
"27","Males","2,584","18,761,111","13.77","--","98,192"
"27","Females","749","18,018,648","4.16","--","28,462"
"28","Males","2,633","18,703,915","14.08","--","97,421"
"28","Females","897","18,038,812","4.97","--","33,189"
"29","Males","2,684","18,607,804","14.42","--","96,624"
"29","Females","845","18,004,482","4.69","--","30,420"
"30","Males","2,715","18,502,407","14.67","--","95,025"
"30","Females","872","17,963,832","4.85","--","30,520"
"31","Males","2,828","18,302,397","15.45","--","96,152"
"31","Females","936","17,825,531","5.25","--","31,824"
"32","Males","2,703","18,116,850","14.92","--","89,199"
"32","Females","952","17,693,294","5.38","--","31,416"
"33","Males","2,762","17,934,346","15.40","--","88,384"
"33","Females","885","17,563,227","5.04","--","28,320"
"34","Males","2,661","17,788,701","14.96","--","82,491"
"34","Females","881","17,473,545","5.04","--","27,311"
"35","Males","2,690","17,719,637","15.18","--","80,700"
"35","Females","892","17,431,670","5.12","--","26,760"
"36","Males","2,672","17,552,541","15.22","--","77,488"
"36","Females","938","17,308,724","5.42","--","27,202"
"37","Males","2,472","17,342,916","14.25","--","69,216"
"37","Females","992","17,142,894","5.79","--","27,776"
"38","Males","2,459","17,113,786","14.37","--","66,393"
"38","Females","920","16,958,988","5.43","--","24,840"
"39","Males","2,482","16,874,226","14.71","--","64,532"
"39","Females","895","16,750,622","5.34","--","23,270"
"40","Males","2,409","16,605,732","14.51","--","60,225"
"40","Females","939","16,524,119","5.68","--","23,475"
"41","Males","2,348","16,321,971","14.39","--","56,352"
"41","Females","891","16,289,011","5.47","--","21,384"
"42","Males","2,263","16,089,100","14.07","--","52,049"
"42","Females","902","16,112,079","5.60","--","20,746"
"43","Males","2,202","15,954,063","13.80","--","48,444"
"43","Females","944","16,021,878","5.89","--","20,768"
"44","Males","2,239","16,019,541","13.98","--","47,019"
"44","Females","983","16,124,162","6.10","--","20,643"
"45","Males","2,267","16,125,584","14.06","--","45,340"
"45","Females","973","16,255,916","5.99","--","19,460"
"46","Males","2,334","16,173,236","14.43","--","44,346"
"46","Females","1,069","16,314,685","6.55","--","20,311"
"47","Males","2,350","16,244,284","14.47","--","42,300"
"47","Females","1,022","16,394,212","6.23","--","18,396"
"48","Males","2,324","16,297,892","14.26","--","39,508"
"48","Females","1,122","16,464,696","6.82","--","19,074"
"49","Males","2,398","16,443,022","14.58","--","38,368"
"49","Females","1,082","16,606,551","6.52","--","17,312"
"50","Males","2,240","16,613,222","13.48","--","33,600"
"50","Females","1,073","16,795,617","6.39","--","16,095"
"51","Males","2,322","16,746,214","13.87","--","32,508"
"51","Females","1,124","16,976,986","6.62","--","15,736"
"52","Males","2,420","16,741,525","14.46","--","31,460"
"52","Females","1,237","17,046,542","7.26","--","16,081"
"53","Males","2,362","16,763,846","14.09","--","28,344"
"53","Females","1,182","17,152,303","6.89","--","14,184"
"54","Males","2,370","16,878,202","14.04","--","26,070"
"54","Females","1,198","17,360,641","6.90","--","13,178"
"55","Males","2,256","17,009,706","13.26","--","22,560"
"55","Females","1,178","17,586,635","6.70","--","11,780"
"56","Males","2,323","17,074,162","13.61","--","20,907"
"56","Females","1,191","17,733,809","6.72","--","10,719"
"57","Males","2,325","17,095,141","13.60","--","18,600"
"57","Females","1,124","17,843,937","6.30","--","8,992"
"58","Males","2,180","17,027,936","12.80","--","15,260"
"58","Females","1,150","17,857,754","6.44","--","8,050"
"59","Males","2,045","16,801,970","12.17","--","12,270"
"59","Females","1,005","17,711,708","5.67","--","6,030"
"60","Males","1,952","16,497,452","11.83","--","9,760"
"60","Females","1,006","17,492,742","5.75","--","5,030"
"61","Males","1,816","16,130,841","11.26","--","7,264"
"61","Females","927","17,222,845","5.38","--","3,708"
"62","Males","1,718","15,694,325","10.95","--","5,154"
"62","Females","844","16,874,683","5.00","--","2,532"
"63","Males","1,373","15,212,613","9.03","--","2,746"
"63","Females","811","16,475,474","4.92","--","1,622"
"64","Males","1,351","14,697,690","9.19","--","1,351"
"64","Females","765","16,044,774","4.77","--","765"
"65","Males","1,223","14,140,668","8.65","--","0"
"65","Females","677","15,559,147","4.35","--","0"
"66","Males","1,117","13,595,233","8.22","--","0"
"66","Females","609","15,068,284","4.04","--","0"
