"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	0	4767728	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"1 year"	"1"	0	4828256	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"2 years"	"2"	0	4933770	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"3 years"	"3"	0	5017207	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"4 years"	"4"	0	5093604	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"5 years"	"5"	0	5140961	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"6 years"	"6"	0	5174414	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"7 years"	"7"	0	5182014	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"8 years"	"8"	Suppressed	5187217	Suppressed	Suppressed	Suppressed	Suppressed
	"Female"	"F"	"9 years"	"9"	0	5202926	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"10 years"	"10"	Suppressed	5255223	Suppressed	Suppressed	Suppressed	Suppressed
	"Female"	"F"	"11 years"	"11"	Suppressed	5330457	Suppressed	Suppressed	Suppressed	Suppressed
	"Female"	"F"	"12 years"	"12"	27	5411325	0.5	0.3	0.7	0.1
	"Female"	"F"	"13 years"	"13"	38	5466201	0.7	0.5	1.0	0.1
	"Female"	"F"	"14 years"	"14"	58	5484796	1.1	0.8	1.4	0.1
	"Female"	"F"	"15 years"	"15"	77	5445450	1.4	1.1	1.8	0.2
	"Female"	"F"	"16 years"	"16"	86	5399546	1.6	1.3	2.0	0.2
	"Female"	"F"	"17 years"	"17"	84	5403151	1.6	1.2	1.9	0.2
	"Female"	"F"	"18 years"	"18"	112	5333910	2.1	1.7	2.5	0.2
	"Female"	"F"	"19 years"	"19"	104	5411640	1.9	1.6	2.3	0.2
	"Female"	"F"	"20 years"	"20"	108	5496036	2.0	1.6	2.3	0.2
	"Female"	"F"	"21 years"	"21"	147	5564901	2.6	2.2	3.1	0.2
	"Female"	"F"	"22 years"	"22"	166	5555492	3.0	2.5	3.4	0.2
	"Female"	"F"	"23 years"	"23"	183	5517038	3.3	2.8	3.8	0.2
	"Female"	"F"	"24 years"	"24"	157	5495051	2.9	2.4	3.3	0.2
	"Female"	"F"	"25 years"	"25"	194	5507629	3.5	3.0	4.0	0.3
	"Female"	"F"	"26 years"	"26"	162	5580610	2.9	2.5	3.3	0.2
	"Female"	"F"	"27 years"	"27"	187	5689603	3.3	2.8	3.8	0.2
	"Female"	"F"	"28 years"	"28"	161	5784148	2.8	2.4	3.2	0.2
	"Female"	"F"	"29 years"	"29"	219	5803835	3.8	3.3	4.3	0.3
	"Female"	"F"	"30 years"	"30"	186	5765391	3.2	2.8	3.7	0.2
	"Female"	"F"	"31 years"	"31"	182	5685614	3.2	2.7	3.7	0.2
	"Female"	"F"	"32 years"	"32"	185	5604516	3.3	2.8	3.8	0.2
	"Female"	"F"	"33 years"	"33"	162	5547415	2.9	2.5	3.4	0.2
	"Female"	"F"	"34 years"	"34"	147	5503111	2.7	2.2	3.1	0.2
	"Female"	"F"	"35 years"	"35"	181	5501301	3.3	2.8	3.8	0.2
	"Female"	"F"	"36 years"	"36"	206	5507026	3.7	3.2	4.3	0.3
	"Female"	"F"	"37 years"	"37"	222	5509301	4.0	3.5	4.6	0.3
	"Female"	"F"	"38 years"	"38"	184	5524201	3.3	2.8	3.8	0.2
	"Female"	"F"	"39 years"	"39"	191	5491393	3.5	3.0	4.0	0.3
	"Female"	"F"	"40 years"	"40"	207	5413580	3.8	3.3	4.3	0.3
	"Female"	"F"	"41 years"	"41"	189	5309520	3.6	3.1	4.1	0.3
	"Female"	"F"	"42 years"	"42"	171	5204953	3.3	2.8	3.8	0.3
	"Female"	"F"	"43 years"	"43"	200	5125380	3.9	3.4	4.4	0.3
	"Female"	"F"	"44 years"	"44"	190	5060863	3.8	3.2	4.3	0.3
	"Female"	"F"	"45 years"	"45"	193	5031897	3.8	3.3	4.4	0.3
	"Female"	"F"	"46 years"	"46"	209	5039633	4.1	3.6	4.7	0.3
	"Female"	"F"	"47 years"	"47"	197	5147571	3.8	3.3	4.4	0.3
