"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	0	4330016	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"1 year"	"1"	0	4365305	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"2 years"	"2"	0	4467257	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"3 years"	"3"	0	4544122	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"4 years"	"4"	0	4604663	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"5 years"	"5"	0	4651748	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"6 years"	"6"	0	4680035	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"7 years"	"7"	0	4699745	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"8 years"	"8"	0	4706122	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"9 years"	"9"	0	4711200	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"10 years"	"10"	0	4741202	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"11 years"	"11"	Suppressed	4797182	Suppressed	Suppressed	Suppressed	Suppressed
	"Female"	"F"	"12 years"	"12"	13	4857043	Unreliable	0.1	0.5	0.1
	"Female"	"F"	"13 years"	"13"	18	4911660	Unreliable	0.2	0.6	0.1
	"Female"	"F"	"14 years"	"14"	31	4952607	0.6	0.4	0.9	0.1
	"Female"	"F"	"15 years"	"15"	26	4945281	0.5	0.3	0.8	0.1
	"Female"	"F"	"16 years"	"16"	27	4927552	0.5	0.4	0.8	0.1
	"Female"	"F"	"17 years"	"17"	51	4956073	1.0	0.8	1.4	0.1
	"Female"	"F"	"18 years"	"18"	43	5107401	0.8	0.6	1.1	0.1
	"Female"	"F"	"19 years"	"19"	48	5063043	0.9	0.7	1.3	0.1
	"Female"	"F"	"20 years"	"20"	44	5107793	0.9	0.6	1.2	0.1
	"Female"	"F"	"21 years"	"21"	58	5166226	1.1	0.9	1.5	0.1
	"Female"	"F"	"22 years"	"22"	72	5138971	1.4	1.1	1.8	0.2
	"Female"	"F"	"23 years"	"23"	69	5160232	1.3	1.0	1.7	0.2
	"Female"	"F"	"24 years"	"24"	77	5254939	1.5	1.2	1.8	0.2
	"Female"	"F"	"25 years"	"25"	94	5358659	1.8	1.4	2.1	0.2
	"Female"	"F"	"26 years"	"26"	72	5474141	1.3	1.0	1.7	0.2
	"Female"	"F"	"27 years"	"27"	80	5602608	1.4	1.1	1.8	0.2
	"Female"	"F"	"28 years"	"28"	97	5710139	1.7	1.4	2.1	0.2
	"Female"	"F"	"29 years"	"29"	89	5745950	1.5	1.2	1.9	0.2
	"Female"	"F"	"30 years"	"30"	90	5736556	1.6	1.3	1.9	0.2
	"Female"	"F"	"31 years"	"31"	78	5679225	1.4	1.1	1.7	0.2
	"Female"	"F"	"32 years"	"32"	76	5616232	1.4	1.1	1.7	0.2
	"Female"	"F"	"33 years"	"33"	100	5554963	1.8	1.4	2.2	0.2
	"Female"	"F"	"34 years"	"34"	78	5496609	1.4	1.1	1.8	0.2
	"Female"	"F"	"35 years"	"35"	85	5462556	1.6	1.2	1.9	0.2
	"Female"	"F"	"36 years"	"36"	94	5429611	1.7	1.4	2.1	0.2
	"Female"	"F"	"37 years"	"37"	59	5394548	1.1	0.8	1.4	0.1
	"Female"	"F"	"38 years"	"38"	85	5377585	1.6	1.3	2.0	0.2
	"Female"	"F"	"39 years"	"39"	81	5320305	1.5	1.2	1.9	0.2
	"Female"	"F"	"40 years"	"40"	79	5227340	1.5	1.2	1.9	0.2
	"Female"	"F"	"41 years"	"41"	78	5108208	1.5	1.2	1.9	0.2
	"Female"	"F"	"42 years"	"42"	80	5004704	1.6	1.3	2.0	0.2
	"Female"	"F"	"43 years"	"43"	70	4931037	1.4	1.1	1.8	0.2
	"Female"	"F"	"44 years"	"44"	62	4865681	1.3	1.0	1.6	0.2
	"Female"	"F"	"45 years"	"45"	85	4833656	1.8	1.4	2.2	0.2
	"Female"	"F"	"46 years"	"46"	83	4838444	1.7	1.4	2.1	0.2
	"Female"	"F"	"47 years"	"47"	87	4947533	1.8	1.4	2.2	0.2
	"Female"	"F"	"48 years"	"48"	85	5065891	1.7	1.3	2.1	0.2
	"Female"	"F"	"49 years"	"49"	86	5155701	1.7	1.3	2.1	0.2
	"Female"	"F"	"50 years"	"50"	87	5214506	1.7	1.3	2.1	0.2
	"Female"	"F"	"51 years"	"51"	115	5200978	2.2	1.8	2.6	0.2
	"Female"	"F"	"52 years"	"52"	83	5161086	1.6	1.3	2.0	0.2
	"Female"	"F"	"53 years"	"53"	117	5187829	2.3	1.8	2.7	0.2
	"Female"	"F"	"54 years"	"54"	108	5268910	2.0	1.7	2.4	0.2
	"Female"	"F"	"55 years"	"55"	112	5362532	2.1	1.7	2.5	0.2
	"Female"	"F"	"56 years"	"56"	97	5425651	1.8	1.4	2.2	0.2
	"Female"	"F"	"57 years"	"57"	119	5493587	2.2	1.8	2.6	0.2
	"Female"	"F"	"58 years"	"58"	113	5533718	2.0	1.7	2.4	0.2
	"Female"	"F"	"59 years"	"59"	92	5520805	1.7	1.3	2.0	0.2
	"Female"	"F"	"60 years"	"60"	81	5484106	1.5	1.2	1.8	0.2
	"Female"	"F"	"61 years"	"61"	109	5405342	2.0	1.6	2.4	0.2
	"Female"	"F"	"62 years"	"62"	80	5307847	1.5	1.2	1.9	0.2
	"Female"	"F"	"63 years"	"63"	91	5213536	1.7	1.4	2.1	0.2
	"Female"	"F"	"64 years"	"64"	84	5091698	1.6	1.3	2.0	0.2
	"Female"	"F"	"65 years"	"65"	81	4937698	1.6	1.3	2.0	0.2
	"Female"	"F"	"66 years"	"66"	68	4746247	1.4	1.1	1.8	0.2
	"Female"	"F"	"67 years"	"67"	61	4583019	1.3	1.0	1.7	0.2
	"Female"	"F"	"68 years"	"68"	76	4420471	1.7	1.4	2.2	0.2
	"Female"	"F"	"69 years"	"69"	68	4266168	1.6	1.2	2.0	0.2
	"Female"	"F"	"70 years"	"70"	59	4125622	1.4	1.1	1.8	0.2
	"Female"	"F"	"71 years"	"71"	58	4034836	1.4	1.1	1.9	0.2
	"Female"	"F"	"72 years"	"72"	45	3776262	1.2	0.9	1.6	0.2
	"Female"	"F"	"73 years"	"73"	58	3536139	1.6	1.2	2.1	0.2
	"Female"	"F"	"74 years"	"74"	47	3308199	1.4	1.0	1.9	0.2
	"Female"	"F"	"75 years"	"75"	43	3097084	1.4	1.0	1.9	0.2
	"Female"	"F"	"76 years"	"76"	46	2771621	1.7	1.2	2.2	0.2
	"Female"	"F"	"77 years"	"77"	31	2615159	1.2	0.8	1.7	0.2
	"Female"	"F"	"78 years"	"78"	32	2449826	1.3	0.9	1.8	0.2
	"Female"	"F"	"79 years"	"79"	23	2271047	1.0	0.6	1.5	0.2
	"Female"	"F"	"80 years"	"80"	26	2070847	1.3	0.8	1.8	0.2
	"Female"	"F"	"81 years"	"81"	19	1907101	Unreliable	0.6	1.6	0.2
	"Female"	"F"	"82 years"	"82"	17	1773041	Unreliable	0.6	1.5	0.2
	"Female"	"F"	"83 years"	"83"	23	1652725	1.4	0.9	2.1	0.3
