"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	0	4767728	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"1 year"	"1"	0	4828256	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"2 years"	"2"	0	4933770	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"3 years"	"3"	0	5017207	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"4 years"	"4"	0	5093604	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"5 years"	"5"	0	5140961	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"6 years"	"6"	0	5174414	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"7 years"	"7"	0	5182014	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"8 years"	"8"	0	5187217	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"9 years"	"9"	Suppressed	5202926	Suppressed	Suppressed	Suppressed	Suppressed
	"Female"	"F"	"10 years"	"10"	16	5255223	Unreliable	0.2	0.5	0.1
	"Female"	"F"	"11 years"	"11"	39	5330457	0.7	0.5	1.0	0.1
	"Female"	"F"	"12 years"	"12"	110	5411325	2.0	1.7	2.4	0.2
	"Female"	"F"	"13 years"	"13"	164	5466201	3.0	2.5	3.5	0.2
	"Female"	"F"	"14 years"	"14"	152	5484796	2.8	2.3	3.2	0.2
	"Female"	"F"	"15 years"	"15"	199	5445450	3.7	3.1	4.2	0.3
	"Female"	"F"	"16 years"	"16"	203	5399546	3.8	3.2	4.3	0.3
	"Female"	"F"	"17 years"	"17"	196	5403151	3.6	3.1	4.1	0.3
	"Female"	"F"	"18 years"	"18"	214	5333910	4.0	3.5	4.5	0.3
	"Female"	"F"	"19 years"	"19"	215	5411640	4.0	3.4	4.5	0.3
	"Female"	"F"	"20 years"	"20"	235	5496036	4.3	3.7	4.8	0.3
	"Female"	"F"	"21 years"	"21"	253	5564901	4.5	4.0	5.1	0.3
	"Female"	"F"	"22 years"	"22"	224	5555492	4.0	3.5	4.6	0.3
	"Female"	"F"	"23 years"	"23"	246	5517038	4.5	3.9	5.0	0.3
	"Female"	"F"	"24 years"	"24"	235	5495051	4.3	3.7	4.8	0.3
	"Female"	"F"	"25 years"	"25"	229	5507629	4.2	3.6	4.7	0.3
	"Female"	"F"	"26 years"	"26"	264	5580610	4.7	4.2	5.3	0.3
	"Female"	"F"	"27 years"	"27"	256	5689603	4.5	3.9	5.1	0.3
	"Female"	"F"	"28 years"	"28"	282	5784148	4.9	4.3	5.4	0.3
	"Female"	"F"	"29 years"	"29"	285	5803835	4.9	4.3	5.5	0.3
	"Female"	"F"	"30 years"	"30"	290	5765391	5.0	4.5	5.6	0.3
	"Female"	"F"	"31 years"	"31"	290	5685614	5.1	4.5	5.7	0.3
	"Female"	"F"	"32 years"	"32"	320	5604516	5.7	5.1	6.3	0.3
	"Female"	"F"	"33 years"	"33"	292	5547415	5.3	4.7	5.9	0.3
	"Female"	"F"	"34 years"	"34"	256	5503111	4.7	4.1	5.2	0.3
	"Female"	"F"	"35 years"	"35"	288	5501301	5.2	4.6	5.8	0.3
	"Female"	"F"	"36 years"	"36"	277	5507026	5.0	4.4	5.6	0.3
	"Female"	"F"	"37 years"	"37"	324	5509301	5.9	5.2	6.5	0.3
	"Female"	"F"	"38 years"	"38"	298	5524201	5.4	4.8	6.0	0.3
	"Female"	"F"	"39 years"	"39"	272	5491393	5.0	4.4	5.5	0.3
	"Female"	"F"	"40 years"	"40"	312	5413580	5.8	5.1	6.4	0.3
	"Female"	"F"	"41 years"	"41"	287	5309520	5.4	4.8	6.0	0.3
	"Female"	"F"	"42 years"	"42"	292	5204953	5.6	5.0	6.3	0.3
	"Female"	"F"	"43 years"	"43"	256	5125380	5.0	4.4	5.6	0.3
	"Female"	"F"	"44 years"	"44"	306	5060863	6.0	5.4	6.7	0.3
	"Female"	"F"	"45 years"	"45"	303	5031897	6.0	5.3	6.7	0.3
	"Female"	"F"	"46 years"	"46"	288	5039633	5.7	5.1	6.4	0.3
	"Female"	"F"	"47 years"	"47"	328	5147571	6.4	5.7	7.1	0.4
	"Female"	"F"	"48 years"	"48"	343	5235105	6.6	5.9	7.2	0.4
