"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	0	4330016	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"1 year"	"1"	0	4365305	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"2 years"	"2"	0	4467257	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"3 years"	"3"	0	4544122	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"4 years"	"4"	0	4604663	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"5 years"	"5"	0	4651748	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"6 years"	"6"	0	4680035	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"7 years"	"7"	0	4699745	Unreliable	0.0	0.0	0.0
	"Female"	"F"	"8 years"	"8"	Suppressed	4706122	Suppressed	Suppressed	Suppressed	Suppressed
	"Female"	"F"	"9 years"	"9"	11	4711200	Unreliable	0.1	0.4	0.1
	"Female"	"F"	"10 years"	"10"	Suppressed	4741202	Suppressed	Suppressed	Suppressed	Suppressed
	"Female"	"F"	"11 years"	"11"	30	4797182	0.6	0.4	0.9	0.1
	"Female"	"F"	"12 years"	"12"	74	4857043	1.5	1.2	1.9	0.2
	"Female"	"F"	"13 years"	"13"	102	4911660	2.1	1.7	2.5	0.2
	"Female"	"F"	"14 years"	"14"	151	4952607	3.0	2.6	3.5	0.2
	"Female"	"F"	"15 years"	"15"	163	4945281	3.3	2.8	3.8	0.3
	"Female"	"F"	"16 years"	"16"	203	4927552	4.1	3.6	4.7	0.3
	"Female"	"F"	"17 years"	"17"	202	4956073	4.1	3.5	4.6	0.3
	"Female"	"F"	"18 years"	"18"	193	5107401	3.8	3.2	4.3	0.3
	"Female"	"F"	"19 years"	"19"	214	5063043	4.2	3.7	4.8	0.3
	"Female"	"F"	"20 years"	"20"	217	5107793	4.2	3.7	4.8	0.3
	"Female"	"F"	"21 years"	"21"	235	5166226	4.5	4.0	5.1	0.3
	"Female"	"F"	"22 years"	"22"	250	5138971	4.9	4.3	5.5	0.3
	"Female"	"F"	"23 years"	"23"	235	5160232	4.6	4.0	5.1	0.3
	"Female"	"F"	"24 years"	"24"	254	5254939	4.8	4.2	5.4	0.3
	"Female"	"F"	"25 years"	"25"	245	5358659	4.6	4.0	5.1	0.3
	"Female"	"F"	"26 years"	"26"	260	5474141	4.7	4.2	5.3	0.3
	"Female"	"F"	"27 years"	"27"	237	5602608	4.2	3.7	4.8	0.3
	"Female"	"F"	"28 years"	"28"	280	5710139	4.9	4.3	5.5	0.3
	"Female"	"F"	"29 years"	"29"	275	5745950	4.8	4.2	5.4	0.3
	"Female"	"F"	"30 years"	"30"	273	5736556	4.8	4.2	5.3	0.3
	"Female"	"F"	"31 years"	"31"	311	5679225	5.5	4.9	6.1	0.3
	"Female"	"F"	"32 years"	"32"	290	5616232	5.2	4.6	5.8	0.3
	"Female"	"F"	"33 years"	"33"	263	5554963	4.7	4.2	5.3	0.3
	"Female"	"F"	"34 years"	"34"	305	5496609	5.5	4.9	6.2	0.3
	"Female"	"F"	"35 years"	"35"	263	5462556	4.8	4.2	5.4	0.3
	"Female"	"F"	"36 years"	"36"	291	5429611	5.4	4.7	6.0	0.3
	"Female"	"F"	"37 years"	"37"	291	5394548	5.4	4.8	6.0	0.3
	"Female"	"F"	"38 years"	"38"	276	5377585	5.1	4.5	5.7	0.3
	"Female"	"F"	"39 years"	"39"	287	5320305	5.4	4.8	6.0	0.3
	"Female"	"F"	"40 years"	"40"	260	5227340	5.0	4.4	5.6	0.3
	"Female"	"F"	"41 years"	"41"	267	5108208	5.2	4.6	5.9	0.3
	"Female"	"F"	"42 years"	"42"	265	5004704	5.3	4.7	5.9	0.3
	"Female"	"F"	"43 years"	"43"	295	4931037	6.0	5.3	6.7	0.3
	"Female"	"F"	"44 years"	"44"	270	4865681	5.5	4.9	6.2	0.3
	"Female"	"F"	"45 years"	"45"	251	4833656	5.2	4.6	5.8	0.3
	"Female"	"F"	"46 years"	"46"	329	4838444	6.8	6.1	7.5	0.4
	"Female"	"F"	"47 years"	"47"	267	4947533	5.4	4.7	6.0	0.3
	"Female"	"F"	"48 years"	"48"	333	5065891	6.6	5.9	7.3	0.4
	"Female"	"F"	"49 years"	"49"	325	5155701	6.3	5.6	7.0	0.3
	"Female"	"F"	"50 years"	"50"	337	5214506	6.5	5.8	7.2	0.4
	"Female"	"F"	"51 years"	"51"	364	5200978	7.0	6.3	7.7	0.4
	"Female"	"F"	"52 years"	"52"	339	5161086	6.6	5.9	7.3	0.4
	"Female"	"F"	"53 years"	"53"	351	5187829	6.8	6.1	7.5	0.4
	"Female"	"F"	"54 years"	"54"	371	5268910	7.0	6.3	7.8	0.4
	"Female"	"F"	"55 years"	"55"	384	5362532	7.2	6.4	7.9	0.4
	"Female"	"F"	"56 years"	"56"	359	5425651	6.6	5.9	7.3	0.3
	"Female"	"F"	"57 years"	"57"	363	5493587	6.6	5.9	7.3	0.3
	"Female"	"F"	"58 years"	"58"	340	5533718	6.1	5.5	6.8	0.3
	"Female"	"F"	"59 years"	"59"	316	5520805	5.7	5.1	6.4	0.3
	"Female"	"F"	"60 years"	"60"	318	5484106	5.8	5.2	6.4	0.3
	"Female"	"F"	"61 years"	"61"	297	5405342	5.5	4.9	6.1	0.3
	"Female"	"F"	"62 years"	"62"	283	5307847	5.3	4.7	6.0	0.3
	"Female"	"F"	"63 years"	"63"	263	5213536	5.0	4.4	5.7	0.3
	"Female"	"F"	"64 years"	"64"	238	5091698	4.7	4.1	5.3	0.3
	"Female"	"F"	"65 years"	"65"	232	4937698	4.7	4.1	5.3	0.3
	"Female"	"F"	"66 years"	"66"	206	4746247	4.3	3.7	4.9	0.3
	"Female"	"F"	"67 years"	"67"	220	4583019	4.8	4.2	5.4	0.3
	"Female"	"F"	"68 years"	"68"	199	4420471	4.5	3.9	5.1	0.3
	"Female"	"F"	"69 years"	"69"	171	4266168	4.0	3.4	4.6	0.3
	"Female"	"F"	"70 years"	"70"	170	4125622	4.1	3.5	4.7	0.3
	"Female"	"F"	"71 years"	"71"	157	4034836	3.9	3.3	4.5	0.3
	"Female"	"F"	"72 years"	"72"	141	3776262	3.7	3.1	4.4	0.3
	"Female"	"F"	"73 years"	"73"	123	3536139	3.5	2.9	4.1	0.3
	"Female"	"F"	"74 years"	"74"	97	3308199	2.9	2.4	3.6	0.3
	"Female"	"F"	"75 years"	"75"	116	3097084	3.7	3.1	4.4	0.3
	"Female"	"F"	"76 years"	"76"	101	2771621	3.6	2.9	4.4	0.4
	"Female"	"F"	"77 years"	"77"	85	2615159	3.3	2.6	4.0	0.4
	"Female"	"F"	"78 years"	"78"	81	2449826	3.3	2.6	4.1	0.4
	"Female"	"F"	"79 years"	"79"	68	2271047	3.0	2.3	3.8	0.4
	"Female"	"F"	"80 years"	"80"	55	2070847	2.7	2.0	3.5	0.4
	"Female"	"F"	"81 years"	"81"	58	1907101	3.0	2.3	3.9	0.4
	"Female"	"F"	"82 years"	"82"	51	1773041	2.9	2.1	3.8	0.4
	"Female"	"F"	"83 years"	"83"	38	1652725	2.3	1.6	3.2	0.4
