"Age","Year","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"<1","2021","Males","0**","1,821,502","0.00**","--","--"
"<1","2021","Females","0**","1,742,991","0.00**","--","--"
"<1","2020","Males","0**","1,891,716","0.00**","--","--"
"<1","2020","Females","0**","1,807,480","0.00**","--","--"
"<1","2019","Males","0**","1,921,001","0.00**","--","--"
"<1","2019","Females","0**","1,841,226","0.00**","--","--"
"<1","2018","Males","0**","1,955,778","0.00**","--","--"
"<1","2018","Females","0**","1,871,130","0.00**","--","--"
"<1","2017","Males","0**","1,985,633","0.00**","--","--"
"<1","2017","Females","0**","1,896,804","0.00**","--","--"
"<1","2016","Males","0**","2,026,072","0.00**","--","--"
"<1","2016","Females","0**","1,937,196","0.00**","--","--"
"<1","2015","Males","0**","2,037,728","0.00**","--","--"
"<1","2015","Females","0**","1,946,416","0.00**","--","--"
"<1","2014","Males","0**","2,024,604","0.00**","--","--"
"<1","2014","Females","0**","1,930,369","0.00**","--","--"
"<1","2013","Males","0**","2,009,790","0.00**","--","--"
"<1","2013","Females","0**","1,921,621","0.00**","--","--"
"<1","2012","Males","0**","2,007,826","0.00**","--","--"
"<1","2012","Females","0**","1,918,905","0.00**","--","--"
"<1","2011","Males","0**","2,028,518","0.00**","--","--"
"<1","2011","Females","0**","1,934,746","0.00**","--","--"
"<1","2010","Males","0**","2,014,278","0.00**","--","--"
"<1","2010","Females","0**","1,929,882","0.00**","--","--"
"<1","2009","Males","0**","2,044,418","0.00**","--","--"
"<1","2009","Females","0**","1,959,169","0.00**","--","--"
"<1","2008","Males","0**","2,109,839","0.00**","--","--"
"<1","2008","Females","0**","2,022,847","0.00**","--","--"
"<1","2007","Males","0**","2,120,806","0.00**","--","--"
"<1","2007","Females","0**","2,027,163","0.00**","--","--"
"<1","2006","Males","0**","2,065,816","0.00**","--","--"
"<1","2006","Females","0**","1,975,904","0.00**","--","--"
"<1","2005","Males","0**","2,047,709","0.00**","--","--"
"<1","2005","Females","0**","1,956,664","0.00**","--","--"
"<1","2004","Males","0**","2,052,042","0.00**","--","--"
"<1","2004","Females","0**","1,962,210","0.00**","--","--"
"<1","2003","Males","0**","2,033,235","0.00**","--","--"
"<1","2003","Females","0**","1,942,622","0.00**","--","--"
"<1","2002","Males","0**","2,018,521","0.00**","--","--"
"<1","2002","Females","0**","1,932,933","0.00**","--","--"
"<1","2001","Males","0**","2,049,760","0.00**","--","--"
"<1","2001","Females","0**","1,962,906","0.00**","--","--"
"1","2021","Males","0**","1,893,355","0.00**","--","--"
"1","2021","Females","0**","1,809,581","0.00**","--","--"
"1","2020","Males","0**","1,921,621","0.00**","--","--"
"1","2020","Females","0**","1,840,854","0.00**","--","--"
"1","2019","Males","0**","1,963,261","0.00**","--","--"
"1","2019","Females","0**","1,878,996","0.00**","--","--"
"1","2018","Males","0**","1,993,267","0.00**","--","--"
"1","2018","Females","0**","1,904,650","0.00**","--","--"
"1","2017","Males","0**","2,035,250","0.00**","--","--"
"1","2017","Females","0**","1,946,614","0.00**","--","--"
"1","2016","Males","0**","2,047,270","0.00**","--","--"
"1","2016","Females","0**","1,956,316","0.00**","--","--"
"1","2015","Males","0**","2,034,037","0.00**","--","--"
"1","2015","Females","0**","1,939,791","0.00**","--","--"
"1","2014","Males","0**","2,018,835","0.00**","--","--"
"1","2014","Females","0**","1,930,724","0.00**","--","--"
"1","2013","Males","0**","2,016,044","0.00**","--","--"
"1","2013","Females","0**","1,927,304","0.00**","--","--"
"1","2012","Males","0**","2,035,547","0.00**","--","--"
"1","2012","Females","0**","1,942,663","0.00**","--","--"
"1","2011","Males","0**","2,025,565","0.00**","--","--"
"1","2011","Females","0**","1,941,203","0.00**","--","--"
"1","2010","Males","0**","2,030,861","0.00**","--","--"
"1","2010","Females","0**","1,947,229","0.00**","--","--"
"1","2009","Males","0**","2,080,878","0.00**","--","--"
"1","2009","Females","0**","1,997,919","0.00**","--","--"
"1","2008","Males","0**","2,095,132","0.00**","--","--"
"1","2008","Females","0**","2,005,589","0.00**","--","--"
