"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","10 to 14","Alabama","16**","326,763","4.90**","--","829"
"2021","10 to 14","Alaska","--","51,080","--","--","--"
"2021","10 to 14","Arizona","16**","477,133","3.35**","--","831"
"2021","10 to 14","Arkansas","--","205,098","--","--","--"
"2021","10 to 14","California","45","2,570,492","1.75","--","2,340"
"2021","10 to 14","Colorado","19**","366,622","5.18**","--","1,001"
"2021","10 to 14","Connecticut","--","217,127","--","--","--"
"2021","10 to 14","Delaware","--","60,635","--","--","--"
"2021","10 to 14","District of Columbia","--","31,479","--","--","--"
"2021","10 to 14","Florida","29","1,246,722","2.33","--","1,519"
"2021","10 to 14","Georgia","29","747,740","3.88","--","1,508"
"2021","10 to 14","Hawaii","0**","84,745","0.00**","--","--"
"2021","10 to 14","Idaho","10**","140,519","7.12**","--","513"
"2021","10 to 14","Illinois","19**","821,691","2.31**","--","989"
"2021","10 to 14","Indiana","18**","460,672","3.91**","--","932"
"2021","10 to 14","Iowa","--","214,645","--","--","--"
"2021","10 to 14","Kansas","10**","206,681","4.84**","--","515"
"2021","10 to 14","Kentucky","--","292,762","--","--","--"
"2021","10 to 14","Louisiana","--","311,821","--","--","--"
"2021","10 to 14","Maine","--","74,112","--","--","--"
"2021","10 to 14","Maryland","--","395,912","--","--","--"
"2021","10 to 14","Massachusetts","--","395,467","--","--","--"
"2021","10 to 14","Michigan","12**","625,286","1.92**","--","626"
"2021","10 to 14","Minnesota","--","382,463","--","--","--"
"2021","10 to 14","Mississippi","--","205,993","--","--","--"
"2021","10 to 14","Missouri","14**","401,359","3.49**","--","729"
"2021","10 to 14","Montana","--","69,277","--","--","--"
"2021","10 to 14","Nebraska","--","139,146","--","--","--"
"2021","10 to 14","Nevada","--","205,955","--","--","--"
"2021","10 to 14","New Hampshire","--","76,138","--","--","--"
"2021","10 to 14","New Jersey","--","589,013","--","--","--"
"2021","10 to 14","New Mexico","--","142,580","--","--","--"
"2021","10 to 14","New York","11**","1,163,823","0.95**","--","570"
